
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::slice         1.85%      18.507ms         2.91%      29.162ms      22.432us      24.162ms         2.32%      34.653ms      26.656us          1300  
                                              aten::cat         1.50%      15.050ms         2.43%      24.350ms      35.393us      26.993ms         2.59%      26.993ms      39.234us           688  
                                               aten::eq         0.43%       4.267ms         1.98%      19.903ms      99.021us      21.405ms         2.05%      21.405ms     106.493us           201  
                                            aten::clone         0.30%       3.046ms         2.02%      20.221ms     171.366us       3.776ms         0.36%      21.058ms     178.458us           118  
                                      aten::bitwise_not         0.09%     935.158us         1.80%      18.057ms     361.138us      18.472ms         1.77%      18.472ms     369.440us            50  
                                            aten::index         0.26%       2.627ms         1.75%      17.568ms     358.532us      16.301ms         1.56%      18.002ms     367.388us            49  
                                            aten::copy_         0.29%       2.869ms         1.59%      15.971ms      58.287us      16.751ms         1.61%      16.751ms      61.135us           274  
                                        aten::embedding         0.40%       4.023ms         1.54%      15.461ms     154.611us       4.678ms         0.45%      16.236ms     162.360us           100  
                                           aten::cumsum         0.29%       2.956ms         1.57%      15.778ms     309.382us      15.684ms         1.51%      16.135ms     316.373us            51  
                                           aten::__or__         0.13%       1.320ms         1.47%      14.724ms     147.237us       1.989ms         0.19%      15.471ms     154.710us           100  
                                          aten::reshape         0.62%       6.170ms         1.11%      11.156ms      22.356us       9.065ms         0.87%      14.600ms      29.259us           499  
                                              aten::sub         0.20%       2.020ms         1.30%      12.989ms     128.604us      13.749ms         1.32%      13.749ms     136.129us           101  
                                       aten::bitwise_or         0.20%       2.040ms         1.27%      12.736ms     127.359us      13.482ms         1.29%      13.482ms     134.820us           100  
                                              aten::max         0.22%       2.249ms         1.15%      11.517ms     230.342us      10.615ms         1.02%      11.892ms     237.840us            50  
                                              aten::all         0.20%       1.999ms         1.14%      11.384ms     227.678us      11.256ms         1.08%      11.751ms     235.020us            50  
                                       aten::contiguous         0.02%     223.219us         1.16%      11.611ms     645.048us     325.000us         0.03%      11.732ms     651.778us            18  
                                       aten::is_nonzero         0.19%       1.950ms         1.04%      10.450ms      68.750us       2.838ms         0.27%      11.425ms      75.164us           152  
                                             aten::item         0.21%       2.092ms         0.86%       8.651ms      56.542us       3.123ms         0.30%       9.780ms      63.922us           153  
                                             aten::tanh         0.41%       4.132ms         0.75%       7.563ms      25.209us       9.626ms         0.92%       9.626ms      32.087us           300  
                                            aten::fill_         0.21%       2.074ms         0.94%       9.453ms      46.567us       9.537ms         0.92%       9.537ms      46.980us           203  
                                             aten::full         0.38%       3.836ms         0.76%       7.593ms      75.931us       4.525ms         0.43%       8.351ms      83.510us           100  
                                     aten::index_select         0.36%       3.633ms         0.73%       7.312ms      73.120us       5.261ms         0.50%       7.972ms      79.720us           100  
                                           aten::argmax         0.20%       2.048ms         0.72%       7.176ms     143.525us       7.362ms         0.71%       7.816ms     156.320us            50  
                              aten::_local_scalar_dense         0.18%       1.838ms         0.55%       5.565ms      36.372us       6.657ms         0.64%       6.657ms      43.510us           153  
                                              aten::any         0.26%       2.610ms         0.61%       6.133ms     115.721us       2.886ms         0.28%       6.480ms     122.264us            53  
                                               aten::to         0.11%       1.065ms         0.58%       5.819ms       9.602us       4.864ms         0.47%       6.447ms      10.639us           606  
                                               aten::lt         0.01%      57.239us         0.62%       6.227ms       6.227ms       6.241ms         0.60%       6.241ms       6.241ms             1  
                                          aten::dropout         0.06%     604.303us         0.06%     604.303us       0.930us       5.304ms         0.51%       5.304ms       8.160us           650  
                                       aten::empty_like         0.15%       1.475ms         0.33%       3.323ms      28.157us       2.222ms         0.21%       4.149ms      35.161us           118  
                                           aten::select         0.27%       2.684ms         0.39%       3.892ms      25.775us       2.689ms         0.26%       3.645ms      24.139us           151  
                                        aten::unsqueeze         0.16%       1.579ms         0.23%       2.352ms      23.061us       2.225ms         0.21%       3.139ms      30.775us           102  
                                          aten::__and__         0.07%     713.311us         0.26%       2.639ms      52.777us       1.034ms         0.10%       3.006ms      60.120us            50  
                                             aten::rsub         0.10%     985.147us         0.26%       2.590ms      51.805us       1.304ms         0.13%       2.936ms      58.720us            50  
                                                aten::t         0.08%     830.685us         0.23%       2.341ms      46.826us       1.173ms         0.11%       2.733ms      54.660us            50  
                                      aten::result_type         0.03%     252.921us         0.03%     252.921us       0.843us       2.302ms         0.22%       2.302ms       7.673us           300  
                                               aten::ge         0.13%       1.291ms         0.18%       1.799ms      35.979us       2.213ms         0.21%       2.213ms      44.260us            50  
                                      aten::bitwise_and         0.10%       1.031ms         0.16%       1.582ms      31.638us       1.972ms         0.19%       1.972ms      39.440us            50  
                                         aten::_to_copy         0.15%       1.550ms         0.44%       4.416ms      84.917us     627.000us         0.06%       1.583ms      30.442us            52  
                                          aten::view_as         0.07%     695.781us         0.11%       1.134ms      21.390us       1.037ms         0.10%       1.510ms      28.491us            53  
                                          aten::resize_         0.07%     705.815us         0.07%     705.815us       7.058us       1.356ms         0.13%       1.356ms      13.560us           100  
                                         aten::new_ones         0.14%       1.430ms         0.47%       4.668ms      93.367us     256.000us         0.02%     613.000us      12.260us            50  
                                        aten::new_empty         0.06%     641.020us         0.15%       1.480ms      29.603us     157.000us         0.02%     207.000us       4.140us            50  
                                             aten::ones         0.01%      53.604us         0.02%     178.101us      89.050us      63.000us         0.01%     192.000us      96.000us             2  
                                    aten::empty_strided         0.06%     561.111us         0.06%     561.111us      10.791us     157.000us         0.02%     157.000us       3.019us            52  
                                          aten::detach_         0.00%      25.001us         0.01%      57.797us      28.899us      55.000us         0.01%      71.000us      35.500us             2  
                                     aten::_unsafe_view         0.02%     189.130us         0.02%     189.130us       3.783us      50.000us         0.00%      50.000us       1.000us            50  
                                       aten::lift_fresh         0.00%       1.346us         0.00%       1.346us       0.673us      20.000us         0.00%      20.000us      10.000us             2  
                                                detach_         0.00%       3.799us         0.00%       3.799us       1.899us      16.000us         0.00%      16.000us       8.000us             2  
                                        cudaEventRecord        21.27%     213.290ms        21.27%     213.290ms       3.303us       0.000us         0.00%       0.000us       0.000us         64568  
                                        cudaMemcpyAsync         0.49%       4.889ms         0.49%       4.889ms      11.955us       0.000us         0.00%       0.000us       0.000us           409  
                                  cudaStreamSynchronize         0.11%       1.082ms         0.11%       1.082ms       6.979us       0.000us         0.00%       0.000us       0.000us           155  
                                          cudaHostAlloc         0.11%       1.120ms         0.11%       1.120ms     559.861us       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel        27.04%     271.140ms        27.04%     271.140ms      36.760us       0.000us         0.00%       0.000us       0.000us          7376  
                                     cudaGetDeviceCount         0.00%       0.131us         0.00%       0.131us       0.131us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaFuncGetAttributes         0.50%       4.981ms         0.50%       4.981ms       4.981ms       0.000us         0.00%       0.000us       0.000us             1  
                                    cudaPeekAtLastError         0.00%      27.465us         0.00%      27.465us       0.135us       0.000us         0.00%       0.000us       0.000us           204  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         1.23%      12.348ms         1.23%      12.348ms     202.424us       0.000us         0.00%       0.000us       0.000us            61  
                                 cudaDeviceGetAttribute         0.10%     986.214us         0.10%     986.214us      13.697us       0.000us         0.00%       0.000us       0.000us            72  
                                               cudaFree         0.26%       2.603ms         0.26%       2.603ms       2.603ms       0.000us         0.00%       0.000us       0.000us             1  
                                cudaGetDriverEntryPoint         0.00%       1.838us         0.00%       1.838us       0.919us       0.000us         0.00%       0.000us       0.000us             2  
                                   cudaGetSymbolAddress         1.20%      11.989ms         1.20%      11.989ms      11.989ms       0.000us         0.00%       0.000us       0.000us             1  
                                             cudaMalloc         0.09%     874.292us         0.09%     874.292us     174.858us       0.000us         0.00%       0.000us       0.000us             5  
                                  cudaStreamIsCapturing         0.03%     336.056us         0.03%     336.056us       1.113us       0.000us         0.00%       0.000us       0.000us           302  
                                        cudaMemsetAsync         0.01%      60.350us         0.01%      60.350us       8.621us       0.000us         0.00%       0.000us       0.000us             7  
                                  cudaDeviceSynchronize         0.00%       9.494us         0.00%       9.494us       9.494us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.003s
Self CUDA time total: 1.042s

